name,price,description,category,branch,image,special,show_description
Chicken Cheese Gola Kabab,550,,BBQ,Krados Johar Town,,,
Malai Piece,190,,BBQ,Krados Johar Town,,,
Chicken Piece,180,,BBQ,Krados Johar Town,,,
Chicken Boti (4 Seekh per plate),440,,BBQ,Krados Johar Town,,,
Chicken Malai Boti (4 Seekh per plate),520,,BBQ,Krados Johar Town,,,
Chicken Kabab (6 Seekh per plate),480,,BBQ,Krados Johar Town,,,
Chicken Cheese Kabab (6 Seekh per plate),650,,BBQ,Krados Johar Town,,,
Beef Kabab (6 Seekh per plate),240,,BBQ,Krados Johar Town,,,
Fish Tikka (Seasonal) (4 Seekh per plate),600,,BBQ,Krados Johar Town,,,
Chicken Gola Kabab (3 Seekh per plate,450,,BBQ,Krados Johar Town,,,
Chicken Karahi,820,,Karahi,Krados Johar Town,,,
Chicken Karahi (Half),452,,Karahi,Krados Johar Town,,,
Chicken Makhni Karahi,920,,Karahi,Krados Johar Town,,,
Chicken Makhni Karahi (Half),550,,Karahi,Krados Johar Town,,,
Mutton Karahi,1420,,Karahi,Krados Johar Town,,,
Mutton Karahi (Half),730,,Karahi,Krados Johar Town,,,
Mutton Makhni Karahi,1550,,Karahi,Krados Johar Town,,,
Mutton Makhni Karahi (Half),780,,Karahi,Krados Johar Town,,,
Chicken White Karahi,890,,Karahi,Krados Johar Town,,,
Chicken White Karahi (Half),480,,Karahi,Krados Johar Town,,,
Mutton White Karahi,1450,,Karahi,Krados Johar Town,,,
Mutton White Karahi (Half),740,,Karahi,Krados Johar Town,,,
Chicken Achari Karahi,890,,Karahi,Krados Johar Town,,,
Chicken Achari Karahi (Half),480,,Karahi,Krados Johar Town,,,
Chicken Ginger,1250,,Karahi,Krados Johar Town,,,
Chicken Ginger (Half),650,,Karahi,Krados Johar Town,,,
Mix Special Takatak,550,,Special Takatak,Krados Johar Town,,,
Special Maghaz,440,,Special Takatak,Krados Johar Town,,,
Gurday Kapooray,450,,Special Takatak,Krados Johar Town,,,
Mutton Tawa Chanp (4 Seekh per plate),580,,Special Takatak,Krados Johar Town,,,
Tawa Chicken Piece,225,,Special Takatak,Krados Johar Town,,,
White Takatak ,600,,Special Takatak,Krados Johar Town,,,
Chicken Kabab Masala,450,,Special Takatak,Krados Johar Town,,,
Beef Kabab Masala,400,,Special Takatak,Krados Johar Town,,,
Tawa Karahi,850,,Special Takatak,Krados Johar Town,,,
Tawa Boneless ,440,,Special Takatak,Krados Johar Town,,,
Mutton Handi Boneless,1700,,Special Handi,Krados Johar Town,,,
Mutton Handi Boneless (Half),900,,Special Handi,Krados Johar Town,,,
Mutton Boneless Makhni,1800,,Special Handi,Krados Johar Town,,,
Mutton Boneless Makhni (Half),950,,Special Handi,Krados Johar Town,,,
Chicken Handi Boneless,1350,,Special Handi,Krados Johar Town,,,
Chicken Handi Boneless (Half),700,,Special Handi,Krados Johar Town,,,
Chicken Achari Handi,1370,,Special Handi,Krados Johar Town,,,
Chicken Achari Handi (Half),740,,Special Handi,Krados Johar Town,,,
Chicken White Handi,1370,,Special Handi,Krados Johar Town,,,
Chicken White Handi (Half),740,,Special Handi,Krados Johar Town,,,
Chicken Boneless Makhni Handi ,1370,,Special Handi,Krados Johar Town,,,
Chicken Boneless Makhni Handi (Half),740,,Special Handi,Krados Johar Town,,,
Rahu Fish Fry,660,,Fish (Seasonal),Krados Johar Town,,,
Rahu Fish Fry (Half kg),330,,Fish (Seasonal),Krados Johar Town,,,
Finger Fish,850,,Fish (Seasonal),Krados Johar Town,,,
Finger Fish (Half kg),430,,Fish (Seasonal),Krados Johar Town,,,
Finger Fish Grill,850,,Fish (Seasonal),Krados Johar Town,,,
Finger Fish Grill (Half kg),430,,Fish (Seasonal),Krados Johar Town,,,
Rahu Fish Grill,700,,Fish (Seasonal),Krados Johar Town,,,
Rahu Fish Grill (Hal kg),350,,Fish (Seasonal),Krados Johar Town,,,
Chicken Biryani (Full),150,,Pakistani Dishes,Krados Johar Town,,,
Chicken Biryani Half,110,,Pakistani Dishes,Krados Johar Town,,,
Sada Biryani,85,,Pakistani Dishes,Krados Johar Town,,,
Chicken Korma,130,,Pakistani Dishes,Krados Johar Town,,,
Chicken Jalferazi,160,,Pakistani Dishes,Krados Johar Town,,,
Chicken Palak,150,,Pakistani Dishes,Krados Johar Town,,,
Aaloo Keema,90,,Pakistani Dishes,Krados Johar Town,,,
Karhi Pakora,80,,Pakistani Dishes,Krados Johar Town,,,
Chicken Koftay,120,,Pakistani Dishes,Krados Johar Town,,,
Daal Maash,80,,Pakistani Dishes,Krados Johar Town,,,
Chanay Sada,70,,Pakistani Dishes,Krados Johar Town,,,
Murgh Chanay,120,,Pakistani Dishes,Krados Johar Town,,,
Mix Sabzi,80,,Pakistani Dishes,Krados Johar Town,,,
Chicken Daal,90,,Pakistani Dishes,Krados Johar Town,,,
Ojari,120,,Pakistani Dishes,Krados Johar Town,,,
Daal Chana,80,,Pakistani Dishes,Krados Johar Town,,,
Chicken Balochi Sajji (Full),600,,Sajji,Krados Johar Town,,,
Chicken Balochi Sajji (Half),340,,Sajji,Krados Johar Town,,,
Chicken Balochi Sajji (Quarter),200,,Sajji,Krados Johar Town,,,
Raita Zeera,30,,Raita/Salad,Krados Johar Town,,,
Raita Podina,30,,Raita/Salad,Krados Johar Town,,,
Fresh Salad,30,,Raita/Salad,Krados Johar Town,,,
Aaloo Naan,40,,Tandoor,Krados Johar Town,,,
Zeera Naan,35,,Tandoor,Krados Johar Town,,,
Saada Naan,10,,Tandoor,Krados Johar Town,,,
Khamiri Roti,10,,Tandoor,Krados Johar Town,,,
Sada Roti,7,,Tandoor,Krados Johar Town,,,
Chicken Naan,125,,Tandoor,Krados Johar Town,,,
Qeema Naan,80,,Tandoor,Krados Johar Town,,,
Roghni Naan,30,,Tandoor,Krados Johar Town,,,
Garlic Naan,35,,Tandoor,Krados Johar Town,,,
Kalwani Jaan,35,,Tandoor,Krados Johar Town,,,
Soda,40,,Drinks,Krados Johar Town,,,
Half Litre Cold Drink,55,,Drinks,Krados Johar Town,,,
Regular Bottle,35,,Drinks,Krados Johar Town,,,
Regular Diet Bottle,35,,Drinks,Krados Johar Town,,,
Mineral Water (Small),35,,Drinks,Krados Johar Town,,,
Mineral Water (Large),70,,Drinks,Krados Johar Town,,,
1.5L Cold Drink,95,,Drinks,Krados Johar Town,,,
1.5L Diet Cold Drink,95,,Drinks,Krados Johar Town,,,
Firni ,50,,Dessert,Krados Johar Town,,,
Zarda,80,,Dessert,Krados Johar Town,,,
Zarda (Half),40,,Dessert,Krados Johar Town,,,
